raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz300099,300099,sz,尤洛卡,5.9,-0.84,1.22,0.56,23.62,1.89,-5.9,-4.68,1.9,-24.07,-20.16,41870000.0,4350000000.0,3429999999.9999995
sz002386,002386,sz,天原股份,5.9,0.85,1.09,1.11,50.2,1.0,1.37,-1.17,4.24,3.87,8.66,83130000.0,7680000000.0,7678000000.0
sz002382,002382,sz,蓝帆医疗,5.9,0.17,1.26,0.9,-10.94,0.84,-0.51,-2.8,3.33,-7.81,5.36,74180000.0,5945000000.0,5887000000.0
sz000726,000726,sz,鲁  泰Ａ,5.9,0.68,0.58,0.63,8.95,0.5,0.0,-1.67,1.55,0.17,-15.35,19990000.0,4823000000.0,3477000000.0000005
sh600212,600212,sh,绿能慧充,5.9,4.8,4.45,2.34,1934.2,7.2,3.33,7.08,17.76,-5.45,-26.71,138920000.0,4154000000.0,3134000000.0
sz300326,300326,sz,ST凯利,5.89,-2.32,0.79,1.0,23.56,1.48,-2.97,-5.76,7.29,-12.87,5.56,33500000.0,4222999999.9999995,4221000000.0
sh605388,605388,sh,均瑶健康,5.89,-1.34,1.18,0.43,-18.38,2.3,-6.21,-5.0,20.45,-5.0,-20.83,41790000.0,3536999999.9999995,3536999999.9999995
sh601991,601991,sh,大唐发电,5.89,-0.34,1.4,0.5,13.56,2.96,-8.4,-7.1,-5.31,-31.75,68.77,1025350000.0,109005000000.0,73013000000.0
sz002790,002790,sz,瑞尔特,5.88,-0.17,1.35,0.74,-1075.21,1.19,-0.84,-0.34,7.69,-6.74,-29.79,20600000.0,2457000000.0,1533000000.0
sz000159,000159,sz,国际实业,5.88,1.38,2.4,1.24,77.02,1.38,2.8,1.55,14.62,-8.84,2.08,66720000.0,2826000000.0,2826000000.0
sh601111,601111,sh,中国国航,5.88,1.38,0.57,1.45,60.62,1.88,-0.34,-3.45,-3.61,-13.66,-37.25,388280000.0,120496000000.0,68432000000.00001
sh600731,600731,sh,湖南海利,5.88,0.51,0.69,0.46,14.06,1.02,1.2,0.51,8.49,4.26,-13.15,22020000.0,3257000000.0,3185000000.0
sz002282,002282,sz,博深股份,5.87,-0.68,0.5,0.64,23.39,0.87,-1.84,-1.34,4.45,-5.17,-18.47,14880000.0,3093000000.0,2964000000.0
sz000567,000567,sz,海德股份,5.87,-1.01,0.74,1.09,16.21,1.9,-4.55,-6.83,4.63,-5.93,-8.57,84630000.0,11473000000.0,11438000000.0
sh601800,601800,sh,中国交建,5.87,0.17,0.2,0.92,7.11,0.33,-0.68,-3.45,-4.08,-7.89,-27.04,138320000.0,95175000000.0,68813000000.0
sh600468,600468,sh,百利电气,5.87,-0.34,1.07,0.65,77.29,3.17,-5.32,-11.46,6.15,-10.72,-17.03,68060000.0,6385000000.0,6385000000.0
sz300575,300575,sz,中旗股份,5.86,-0.17,3.38,0.48,-34.72,1.4,-4.56,3.9,10.36,-2.5,0.51,68320000.0,2805000000.0,2029000000.0
sz002537,002537,sz,海联金汇,5.86,1.74,3.55,1.93,22.8,1.57,1.38,-0.34,6.93,-6.98,-35.32,244040000.0,6880000000.0,6859999999.999999
sz000605,000605,sz,渤海股份,5.86,-0.51,1.33,1.1,235.57,0.97,-3.62,-2.82,9.94,-6.21,-12.51,27380000.0,2067000000.0000002,2067000000.0000002
sh603569,603569,sh,长久物流,5.86,0.0,0.51,0.98,-39.12,1.44,-0.85,-1.35,4.83,3.17,-19.84,18120000.0,3536999999.9999995,3536999999.9999995
sh600019,600019,sh,宝钢股份,5.86,0.86,0.59,1.28,12.72,0.62,2.09,1.38,-1.35,0.17,-19.39,743330000.0,127643000000.0,125486999999.99998
sz002369,002369,sz,卓翼科技,5.85,-1.52,3.33,0.89,-13.43,17.73,-0.51,-0.68,12.5,-8.31,-32.21,110430000.0,3317000000.0,3311999999.9999995
sz002347,002347,sz,泰尔股份,5.85,-2.34,2.26,0.74,-30.98,2.71,-4.41,-2.82,10.38,-16.19,-52.75,65250000.0,2953000000.0,2886000000.0
sz002105,002105,sz,信隆健康,5.85,0.17,2.74,1.63,-53.12,2.65,0.34,2.63,15.84,-0.85,-20.08,57810000.0,2143000000.0,2132000000.0
sz300189,300189,sz,神农种业,5.84,4.47,32.54,0.82,52.78,8.69,12.52,19.43,37.74,13.84,-21.51,1665110000.0,5980000000.0,5176000000.0
bj920970,920970,bj,大禹生物,5.84,-3.15,4.58,0.61,-14.7,2.63,-5.5,-10.29,1.92,-5.19,-24.06,18930000.0,647000000.0,409000000.0
sz002563,002563,sz,森马服饰,5.83,2.1,1.04,1.05,15.01,1.37,1.22,-5.66,-0.34,6.39,10.63,132590000.0,15707000000.0,12905000000.000002
sz002420,002420,sz,毅昌科技,5.83,0.0,1.99,1.04,12.05,2.87,-2.35,0.17,14.76,-1.69,-24.19,46450000.0,2398000000.0,2355000000.0
sz002752,002752,sz,昇兴股份,5.82,-2.02,0.88,1.06,15.54,1.59,-3.48,-3.64,-0.51,-12.22,-11.01,50260000.0,5686000000.0,5678000000.0
sh603421,603421,sh,鼎信通讯,5.82,-1.02,0.91,0.71,-6.42,1.58,-4.28,-3.0,8.18,-19.5,-18.72,34720000.0,3796000000.0,3796000000.0
sh603111,603111,sh,康尼机电,5.82,1.22,0.75,1.63,14.08,1.3,-0.17,-0.85,2.65,-2.14,-11.23,36570000.0,5017000000.0,4875000000.0
sz002177,002177,sz,御银股份,5.81,0.69,10.15,2.08,305.82,2.57,2.83,0.17,7.39,-14.93,-38.26,401850000.0,4423000000.0,3969000000.0
sh601377,601377,sh,兴业证券,5.81,0.35,0.57,1.06,13.67,0.89,-0.68,-1.69,-3.49,2.83,-20.63,286590000.0,50175000000.0,50175000000.0
sz300144,300144,sz,宋城演艺,5.8,-2.85,1.66,1.72,19.93,2.12,-3.65,-6.45,-3.81,-10.65,-26.96,248580000.0,15131000000.0,14972999999.999998
sz002479,002479,sz,富春环保,5.8,-3.01,4.84,1.79,14.86,1.14,1.05,0.0,7.81,8.61,20.83,243060000.0,5017000000.0,5006000000.0
sh600107,600107,sh,*ST尔雅,5.8,0.35,0.44,1.37,-27.09,5.15,1.93,10.69,8.21,-5.23,-16.43,9170000.0,2088000000.0,2088000000.0
sz300175,300175,sz,朗源股份,5.79,-2.36,1.65,0.78,-163.15,5.47,-6.91,0.17,2.84,-8.1,2.66,44950000.0,2726000000.0,2726000000.0
sz002520,002520,sz,日发精机,5.79,-2.53,4.23,0.49,-34.28,14.67,-11.47,-2.69,7.22,-1.36,-8.1,176010000.0,4344000000.0,4154000000.0
sz002161,002161,sz,远 望 谷,5.79,0.17,2.4,1.38,3281.14,2.83,-4.46,-1.86,14.2,-7.0,-20.64,103400000.0,4283000000.0,4282000000.0
