raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz300505,300505,sz,川金诺,19.27,0.73,4.72,1.19,13.23,1.81,-7.8,0.47,3.6,-5.17,-12.37,195830000.0,5297000000.0,4186999999.9999995,53.5,37.4,80.3,37.3,87.4,74.7,0.7,估值相对占优、量比与换手适中
sz002378,002378,sz,章源钨业,25.44,1.96,1.33,1.4,35.42,10.6,-0.16,-4.68,14.7,-13.32,80.94,401610000.0,30564000000.0,30424000000.0,53.4,35.0,24.8,68.8,76.8,92.3,68.5,量比与换手适中
sz300263,300263,sz,隆华科技,10.23,2.81,3.19,1.55,50.53,2.56,3.75,0.99,17.72,-13.67,16.5,315240000.0,10588000000.0,9980000000.0,53.3,35.9,38.3,60.8,92.5,95.6,23.3,量比与换手适中
sh601969,601969,sh,海南矿业,9.68,2.65,0.74,2.24,28.89,2.7,4.88,3.09,9.26,-0.1,-17.97,139330000.0,19210000000.0,19094000000.0,53.3,56.4,51.2,18.8,57.7,97.9,48.6,趋势因子相对较强
sz000021,000021,sz,深科技,36.4,-1.14,2.2,1.1,47.0,4.33,-2.78,-9.79,-9.34,-1.52,45.25,1270560000.0,57687000000.0,57679000000.0,53.2,29.5,28.6,91.8,76.9,48.0,85.3,成交活跃、量比与换手适中、市值稳定性较高
sz000830,000830,sz,鲁西化工,12.16,2.27,1.06,1.92,24.85,1.22,2.36,-2.49,-5.3,-6.61,-25.72,242620000.0,23157000000.0,23155000000.0,53.2,19.8,72.3,48.6,67.5,96.7,57.2,估值相对占优
sz002033,002033,sz,丽江股份,9.14,-0.11,3.47,2.79,19.95,2.01,3.98,4.58,6.53,4.7,3.86,175270000.0,5022000000.0,5022000000.0,53.2,61.2,69.0,31.7,66.8,62.7,0.2,估值因子相对较强
sz002953,002953,sz,日丰股份,10.88,-0.46,5.68,1.22,34.13,2.45,-7.25,10.46,13.45,4.72,-4.4,167480000.0,5348000000.0,2952000000.0,53.2,70.2,49.0,29.2,80.5,57.7,1.3,中期趋势靠前、量比与换手适中
sh603367,603367,sh,辰欣药业,14.52,-1.29,1.78,1.37,14.4,1.03,0.0,-5.71,2.76,5.52,-15.38,117630000.0,6573999999.999999,6573999999.999999,53.2,57.1,87.5,9.0,79.6,45.9,6.6,估值相对占优、量比与换手适中
sh605111,605111,sh,新洁能,58.83,0.27,2.07,0.95,62.35,5.43,-2.36,2.53,10.62,-4.84,65.54,507510000.0,24434000000.0,24434000000.0,53.1,48.5,17.9,75.3,72.5,68.1,59.7,成交活跃、量比与换手适中
sz300996,300996,sz,普联软件,14.01,-0.28,4.49,1.23,59.11,4.28,-4.69,-29.17,8.35,14.18,19.27,208340000.0,5545000000.0,4667000000.0,53.1,76.1,22.7,39.2,90.1,60.3,2.5,中期趋势靠前、量比与换手适中
sh600968,600968,sh,海油发展,3.89,-2.99,0.63,3.72,10.08,1.33,-4.19,0.52,0.52,0.96,5.33,246420000.0,39542000000.0,39542000000.0,53.0,44.5,90.4,50.0,28.5,21.6,75.8,估值相对占优、市值稳定性较高
sz300145,300145,sz,南方泵业,4.41,0.92,2.69,2.08,33.27,2.84,9.98,-0.68,6.27,0.46,-5.57,228270000.0,8468000000.000001,8427000000.0,52.9,53.2,46.8,45.2,76.7,77.4,15.8,量比与换手适中
sh603019,603019,sh,中科曙光,83.65,0.55,0.76,0.95,50.59,5.31,-1.59,-3.21,-3.45,-2.76,-1.81,931210000.0,122390000000.00002,122383999999.99998,52.8,30.9,23.0,87.1,62.2,72.1,93.0,成交活跃、市值稳定性较高
sz002340,002340,sz,格林美,6.69,2.76,1.69,3.45,21.45,1.6,3.88,-0.89,0.0,-12.95,-19.06,567450000.0,34135000000.000004,33958000000.0,52.8,14.6,71.4,77.6,38.0,96.3,71.5,估值相对占优、成交活跃、市值稳定性较高
sz301035,301035,sz,润丰股份,56.45,3.09,0.51,2.17,20.77,2.68,6.79,7.61,1.53,6.85,9.68,104900000.0,20576000000.0,20534000000.0,52.7,57.1,61.2,2.5,57.5,91.6,51.4,估值因子相对较强
sz002252,002252,sz,上海莱士,4.96,1.22,0.55,1.63,27.06,1.01,1.43,-0.2,-3.69,-4.93,-21.17,181400000.0,32700000000.0,32677999999.999996,52.6,25.1,72.2,33.0,70.0,81.7,70.1,估值相对占优、量比与换手适中、市值稳定性较高
sz000949,000949,sz,新乡化纤,7.05,0.14,0.99,0.78,40.79,1.72,11.2,8.8,18.09,5.22,28.65,114290000.0,11681000000.0,11678000000.0,52.5,74.5,52.6,7.7,60.2,66.3,27.8,中期趋势靠前
sz300373,300373,sz,扬杰科技,92.38,-0.93,1.69,0.92,35.15,5.01,-8.98,-4.41,5.46,-8.99,36.86,840890000.0,50194000000.0,50083000000.0,52.4,31.5,32.8,85.3,68.8,51.0,81.4,成交活跃、市值稳定性较高
sz002119,002119,sz,康强电子,22.76,0.04,5.69,1.93,71.0,5.94,-4.61,-6.03,8.69,3.78,38.53,488670000.0,8541000000.0,8541000000.0,52.4,62.6,13.8,74.6,77.0,64.9,15.9,成交活跃、量比与换手适中
sz002284,002284,sz,亚太股份,9.86,3.35,3.21,1.51,13.07,2.05,1.23,3.57,3.68,-13.28,-33.51,229870000.0,7288000000.0,7219000000.0,52.4,20.9,77.3,45.7,93.6,87.9,10.4,估值相对占优、量比与换手适中
sz300487,300487,sz,蓝晓科技,63.29,1.05,0.68,0.65,36.91,7.04,-2.15,-5.96,6.64,11.65,2.78,132470000.0,32224000000.0,19495000000.0,52.4,71.6,26.7,16.3,54.8,79.3,69.5,中期趋势靠前
